"Resistance.gene","Identity","Alignment.Length.Gene.Length","Coverage","Position.in.reference","Contig","Position.in.contig","Phenotype","Accession.no.","Sample"
"dfrA1",99.79,"474/474",100,"1..474","JBICDQ010000047.1 Escherichia coli strain 47606 contig00047, whole genome shotgun sequence","16281..16754","Trimethoprim","AF203818","GCA_045951915.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICDQ010000047.1 Escherichia coli strain 47606 contig00047, whole genome shotgun sequence","16281..16754","Trimethoprim","AJ238350","GCA_045951915.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICDQ010000047.1 Escherichia coli strain 47606 contig00047, whole genome shotgun sequence","16281..16754","Trimethoprim","X00926","GCA_045951915.1"
"aadA1",100,"792/792",100,"1..792","JBICDR010000104.1 Escherichia coli strain 47605 contig00104, whole genome shotgun sequence","1544..2335","Spectinomycin, Streptomycin","JQ414041","GCA_045951995.1"
"ant(2'')-Ia",100,"534/534",100,"1..534","JBICDR010000104.1 Escherichia coli strain 47605 contig00104, whole genome shotgun sequence","2393..2926","Gentamicin, Tobramycin","X04555","GCA_045951995.1"
"aac(3)-IId",99.88,"861/861",100,"1..861","JBICDR010000106.1 Escherichia coli strain 47605 contig00106, whole genome shotgun sequence","2741..3601","Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin","EU022314","GCA_045951995.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICDR010000141.1 Escherichia coli strain 47605 contig00141, whole genome shotgun sequence","1000..1836","Streptomycin","M28829","GCA_045951995.1"
"aph(3'')-Ib",100,"804/804",100,"1..804","JBICDR010000141.1 Escherichia coli strain 47605 contig00141, whole genome shotgun sequence","197..1000","Streptomycin","AF321551","GCA_045951995.1"
"aadA5",100,"789/789",100,"1..789","JBICDR010000144.1 Escherichia coli strain 47605 contig00144, whole genome shotgun sequence","206..994","Spectinomycin, Streptomycin","AF137361","GCA_045951995.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICDR010000169.1 Escherichia coli strain 47605 contig00169, whole genome shotgun sequence","167..1027","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045951995.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICDR010000048.1 Escherichia coli strain 47605 contig00048, whole genome shotgun sequence","3549..5174","Colistin","KP347127","GCA_045951995.1"
"mph(A)",100,"906/906",100,"1..906","JBICDR010000091.1 Escherichia coli strain 47605 contig00091, whole genome shotgun sequence","180..1085","Erythromycin, Azithromycin, Spiramycin, Telithromycin","D16251","GCA_045951995.1"
"FloR",99.75,"1215/1215",100,"1..1215","JBICDR010000114.1 Escherichia coli strain 47605 contig00114, whole genome shotgun sequence","1018..2232","Chloramphenicol,Florfenicol","CP136914","GCA_045951995.1"
"catA1",99.85,"660/660",100,"1..660","JBICDR010000146.1 Escherichia coli strain 47605 contig00146, whole genome shotgun sequence","334..993","Chloramphenicol","V00622","GCA_045951995.1"
"sul1",100,"840/840",100,"1..840","JBICDR010000155.1 Escherichia coli strain 47605 contig00155, whole genome shotgun sequence","306..1145","Sulfamethoxazole","U12338","GCA_045951995.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICDR010000172.1 Escherichia coli strain 47605 contig00172, whole genome shotgun sequence","303..1093","Sulfamethoxazole","AB366440","GCA_045951995.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICDR010000172.1 Escherichia coli strain 47605 contig00172, whole genome shotgun sequence","303..1093","Sulfamethoxazole","FN995456","GCA_045951995.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICDR010000172.1 Escherichia coli strain 47605 contig00172, whole genome shotgun sequence","303..1093","Sulfamethoxazole","HQ840942","GCA_045951995.1"
"tet(M)",96.15,"1920/1920",100,"1..1920","JBICDR010000072.1 Escherichia coli strain 47605 contig00072, whole genome shotgun sequence","8271..10190","Doxycycline, Tetracycline, Minocycline","X04388","GCA_045951995.1"
"tet(A)",100,"1200/1200",100,"1..1200","JBICDR010000079.1 Escherichia coli strain 47605 contig00079, whole genome shotgun sequence","6704..7903","Doxycycline, Tetracycline","AJ517790","GCA_045951995.1"
"dfrA36",100,"588/588",100,"1..588","JBICDR010000132.1 Escherichia coli strain 47605 contig00132, whole genome shotgun sequence","513..1100","Trimethoprim","CP038791","GCA_045951995.1"
"dfrA17",100,"474/474",100,"1..474","JBICDR010000144.1 Escherichia coli strain 47605 contig00144, whole genome shotgun sequence","1125..1598","Trimethoprim","FJ460238","GCA_045951995.1"
"aadA1",100,"792/792",100,"1..792","JBICDT010000034.1 Escherichia coli strain 47491 contig00034, whole genome shotgun sequence","39636..40427","Spectinomycin, Streptomycin","JX185132","GCA_045952015.1"
"aac(3)-IIa",100,"861/861",100,"1..861","JBICDT010000078.1 Escherichia coli strain 47491 contig00078, whole genome shotgun sequence","2462..3322","Gentamicin, Tobramycin, Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin","X51534","GCA_045952015.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICDT010000078.1 Escherichia coli strain 47491 contig00078, whole genome shotgun sequence","3755..4570","Kanamycin, Neomycin, Kanamycin, Unknown Aminoglycoside, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin","X62115","GCA_045952015.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICDT010000086.1 Escherichia coli strain 47491 contig00086, whole genome shotgun sequence","2450..3286","Streptomycin","M28829","GCA_045952015.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICDT010000086.1 Escherichia coli strain 47491 contig00086, whole genome shotgun sequence","1648..2450","Streptomycin","AF024602","GCA_045952015.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICDT010000086.1 Escherichia coli strain 47491 contig00086, whole genome shotgun sequence","1647..2450","Streptomycin","AF321551","GCA_045952015.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICDT010000086.1 Escherichia coli strain 47491 contig00086, whole genome shotgun sequence","1647..2450","Streptomycin","AF313472","GCA_045952015.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICDT010000086.1 Escherichia coli strain 47491 contig00086, whole genome shotgun sequence","1647..2450","Streptomycin","AF321550","GCA_045952015.1"
"blaCTX-M-1",100,"876/876",100,"1..876","JBICDT010000084.1 Escherichia coli strain 47491 contig00084, whole genome shotgun sequence","2690..3565","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","DQ915955","GCA_045952015.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICDT010000051.1 Escherichia coli strain 47491 contig00051, whole genome shotgun sequence","3052..4677","Colistin","KP347127","GCA_045952015.1"
"mph(B)",100,"909/909",100,"1..909","JBICDT010000063.1 Escherichia coli strain 47491 contig00063, whole genome shotgun sequence","9127..10035","Erythromycin, Spiramycin, Telithromycin","D85892","GCA_045952015.1"
"mph(A)",100,"906/906",100,"1..906","JBICDT010000084.1 Escherichia coli strain 47491 contig00084, whole genome shotgun sequence","214..1119","Erythromycin, Azithromycin, Spiramycin, Telithromycin","D16251","GCA_045952015.1"
"catA1",99.85,"660/660",100,"1..660","JBICDT010000077.1 Escherichia coli strain 47491 contig00077, whole genome shotgun sequence","4237..4896","Chloramphenicol","V00622","GCA_045952015.1"
"sul1",100,"840/840",100,"1..840","JBICDT010000063.1 Escherichia coli strain 47491 contig00063, whole genome shotgun sequence","556..1395","Sulfamethoxazole","U12338","GCA_045952015.1"
"sul3",100,"792/792",100,"1..792","JBICDT010000091.1 Escherichia coli strain 47491 contig00091, whole genome shotgun sequence","1582..2373","Sulfamethoxazole","AJ459418","GCA_045952015.1"
"tet(A)",100,"1200/1200",100,"1..1200","JBICDT010000079.1 Escherichia coli strain 47491 contig00079, whole genome shotgun sequence","2107..3306","Doxycycline, Tetracycline","AJ517790","GCA_045952015.1"
"tet(M)",99.17,"1920/1920",100,"1..1920","JBICDT010000093.1 Escherichia coli strain 47491 contig00093, whole genome shotgun sequence","296..2215","Doxycycline, Tetracycline, Minocycline","U58985","GCA_045952015.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICDT010000020.1 Escherichia coli strain 47491 contig00020, whole genome shotgun sequence","87..560","Trimethoprim","AF203818","GCA_045952015.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICDT010000020.1 Escherichia coli strain 47491 contig00020, whole genome shotgun sequence","87..560","Trimethoprim","AJ238350","GCA_045952015.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICDT010000020.1 Escherichia coli strain 47491 contig00020, whole genome shotgun sequence","87..560","Trimethoprim","X00926","GCA_045952015.1"
"aac(3)-IIa",100,"861/861",100,"1..861","JBICDV010000082.1 Escherichia coli strain 47465 contig00082, whole genome shotgun sequence","1789..2649","Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin, Gentamicin, Tobramycin","X51534","GCA_045952055.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICDV010000082.1 Escherichia coli strain 47465 contig00082, whole genome shotgun sequence","541..1356","Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Neomycin, Unknown Aminoglycoside, Kanamycin","X62115","GCA_045952055.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICDV010000089.1 Escherichia coli strain 47465 contig00089, whole genome shotgun sequence","107..943","Streptomycin","M28829","GCA_045952055.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICDV010000089.1 Escherichia coli strain 47465 contig00089, whole genome shotgun sequence","943..1745","Streptomycin","AF024602","GCA_045952055.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICDV010000089.1 Escherichia coli strain 47465 contig00089, whole genome shotgun sequence","943..1746","Streptomycin","AF321551","GCA_045952055.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICDV010000089.1 Escherichia coli strain 47465 contig00089, whole genome shotgun sequence","943..1746","Streptomycin","AF313472","GCA_045952055.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICDV010000089.1 Escherichia coli strain 47465 contig00089, whole genome shotgun sequence","943..1746","Streptomycin","AF321550","GCA_045952055.1"
"aadA1",100,"781/792",98.6111111111111,"12..792","JBICDV010000129.1 Escherichia coli strain 47465 contig00129, whole genome shotgun sequence","1..781","Spectinomycin, Streptomycin","JX185132","GCA_045952055.1"
"blaOXA-1",100,"831/831",100,"1..831","JBICDV010000114.1 Escherichia coli strain 47465 contig00114, whole genome shotgun sequence","298..1128","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Piperacillin, Piperacillin+Tazobactam","HQ170510","GCA_045952055.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICDV010000099.1 Escherichia coli strain 47465 contig00099, whole genome shotgun sequence","297..1922","Colistin","KP347127","GCA_045952055.1"
"mph(B)",100,"909/909",100,"1..909","JBICDV010000068.1 Escherichia coli strain 47465 contig00068, whole genome shotgun sequence","1865..2773","Erythromycin, Spiramycin, Telithromycin","D85892","GCA_045952055.1"
"FloR",99.75,"1215/1215",100,"1..1215","JBICDV010000096.1 Escherichia coli strain 47465 contig00096, whole genome shotgun sequence","1018..2232","Chloramphenicol,Florfenicol","CP136914","GCA_045952055.1"
"catA1",99.85,"660/660",100,"1..660","JBICDV010000109.1 Escherichia coli strain 47465 contig00109, whole genome shotgun sequence","722..1381","Chloramphenicol","V00622","GCA_045952055.1"
"sul2",100,"816/816",100,"1..816","JBICDV010000066.1 Escherichia coli strain 47465 contig00066, whole genome shotgun sequence","2121..2936","Sulfamethoxazole","AY034138","GCA_045952055.1"
"sul1",100,"840/840",100,"1..840","JBICDV010000068.1 Escherichia coli strain 47465 contig00068, whole genome shotgun sequence","10505..11344","Sulfamethoxazole","U12338","GCA_045952055.1"
"sul3",100,"792/792",100,"1..792","JBICDV010000091.1 Escherichia coli strain 47465 contig00091, whole genome shotgun sequence","2189..2980","Sulfamethoxazole","AJ459418","GCA_045952055.1"
"tet(A)",100,"1200/1200",100,"1..1200","JBICDV010000083.1 Escherichia coli strain 47465 contig00083, whole genome shotgun sequence","2107..3306","Doxycycline, Tetracycline","AJ517790","GCA_045952055.1"
"tet(M)",99.17,"1920/1920",100,"1..1920","JBICDV010000094.1 Escherichia coli strain 47465 contig00094, whole genome shotgun sequence","833..2752","Doxycycline, Tetracycline, Minocycline","U58985","GCA_045952055.1"
"dfrA36",100,"588/588",100,"1..588","JBICDV010000066.1 Escherichia coli strain 47465 contig00066, whole genome shotgun sequence","1157..1744","Trimethoprim","CP038791","GCA_045952055.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICDV010000130.1 Escherichia coli strain 47465 contig00130, whole genome shotgun sequence","151..624","Trimethoprim","AF203818","GCA_045952055.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICDV010000130.1 Escherichia coli strain 47465 contig00130, whole genome shotgun sequence","151..624","Trimethoprim","AJ238350","GCA_045952055.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICDV010000130.1 Escherichia coli strain 47465 contig00130, whole genome shotgun sequence","151..624","Trimethoprim","X00926","GCA_045952055.1"
"aadA1",100,"792/792",100,"1..792","JBICDU010000090.1 Escherichia coli strain 47489 contig00090, whole genome shotgun sequence","1544..2335","Spectinomycin, Streptomycin","JQ414041","GCA_045952075.1"
"ant(2'')-Ia",100,"534/534",100,"1..534","JBICDU010000090.1 Escherichia coli strain 47489 contig00090, whole genome shotgun sequence","2393..2926","Gentamicin, Tobramycin","X04555","GCA_045952075.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICDU010000111.1 Escherichia coli strain 47489 contig00111, whole genome shotgun sequence","1000..1836","Streptomycin","M28829","GCA_045952075.1"
"aph(3'')-Ib",100,"804/804",100,"1..804","JBICDU010000111.1 Escherichia coli strain 47489 contig00111, whole genome shotgun sequence","197..1000","Streptomycin","AF321551","GCA_045952075.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICDU010000131.1 Escherichia coli strain 47489 contig00131, whole genome shotgun sequence","248..1063","Kanamycin, Kanamycin, Neomycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Unknown Aminoglycoside","V00359","GCA_045952075.1"
"blaCTX-M-1",100,"876/876",100,"1..876","JBICDU010000072.1 Escherichia coli strain 47489 contig00072, whole genome shotgun sequence","3045..3920","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","DQ915955","GCA_045952075.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICDU010000093.1 Escherichia coli strain 47489 contig00093, whole genome shotgun sequence","258..1118","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045952075.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICDU010000087.1 Escherichia coli strain 47489 contig00087, whole genome shotgun sequence","1098..2723","Colistin","KP347127","GCA_045952075.1"
"FloR",99.92,"1215/1215",100,"1..1215","JBICDU010000068.1 Escherichia coli strain 47489 contig00068, whole genome shotgun sequence","934..2148","Chloramphenicol,Florfenicol","CP136914","GCA_045952075.1"
"sul1",100,"840/840",100,"1..840","JBICDU010000120.1 Escherichia coli strain 47489 contig00120, whole genome shotgun sequence","356..1195","Sulfamethoxazole","U12338","GCA_045952075.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICDU010000140.1 Escherichia coli strain 47489 contig00140, whole genome shotgun sequence","303..1093","Sulfamethoxazole","AB366440","GCA_045952075.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICDU010000140.1 Escherichia coli strain 47489 contig00140, whole genome shotgun sequence","303..1093","Sulfamethoxazole","FN995456","GCA_045952075.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICDU010000140.1 Escherichia coli strain 47489 contig00140, whole genome shotgun sequence","303..1093","Sulfamethoxazole","HQ840942","GCA_045952075.1"
"tet(A)",100,"1200/1200",100,"1..1200","JBICDU010000055.1 Escherichia coli strain 47489 contig00055, whole genome shotgun sequence","9049..10248","Doxycycline, Tetracycline","AJ517790","GCA_045952075.1"
"dfrA36",100,"441/588",75,"1..441","JBICDU010000072.1 Escherichia coli strain 47489 contig00072, whole genome shotgun sequence","4958..5398","Trimethoprim","CP038791","GCA_045952075.1"
"dfrA36",100,"152/588",25.8503401360544,"437..588","JBICDU010000072.1 Escherichia coli strain 47489 contig00072, whole genome shotgun sequence","1157..1308","Trimethoprim","CP038791","GCA_045952075.1"
"dfrA5",100,"474/474",100,"1..474","JBICDU010000149.1 Escherichia coli strain 47489 contig00149, whole genome shotgun sequence","184..657","Trimethoprim","X12868","GCA_045952075.1"
"aadA1",100,"792/792",100,"1..792","JBICDW010000061.1 Escherichia coli strain 47464 contig00061, whole genome shotgun sequence","5864..6655","Spectinomycin, Streptomycin","JQ414041","GCA_045952155.1"
"aac(3)-IId",99.88,"861/861",100,"1..861","JBICDW010000072.1 Escherichia coli strain 47464 contig00072, whole genome shotgun sequence","2741..3601","Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin","EU022314","GCA_045952155.1"
"aadA5",100,"789/789",100,"1..789","JBICDW010000079.1 Escherichia coli strain 47464 contig00079, whole genome shotgun sequence","1035..1823","Spectinomycin, Streptomycin","AF137361","GCA_045952155.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICDW010000092.1 Escherichia coli strain 47464 contig00092, whole genome shotgun sequence","836..1672","Streptomycin","M28829","GCA_045952155.1"
"aph(3'')-Ib",100,"804/804",100,"1..804","JBICDW010000092.1 Escherichia coli strain 47464 contig00092, whole genome shotgun sequence","33..836","Streptomycin","AF321551","GCA_045952155.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICDW010000103.1 Escherichia coli strain 47464 contig00103, whole genome shotgun sequence","247..1062","Kanamycin, Neomycin, Unknown Aminoglycoside, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin","V00359","GCA_045952155.1"
"aadA2b",99.86,"698/780",89.4871794871795,"1..698","JBICDW010000123.1 Escherichia coli strain 47464 contig00123, whole genome shotgun sequence","1..698","Spectinomycin, Streptomycin","D43625","GCA_045952155.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICDW010000047.1 Escherichia coli strain 47464 contig00047, whole genome shotgun sequence","347..1207","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045952155.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICDW010000063.1 Escherichia coli strain 47464 contig00063, whole genome shotgun sequence","298..1923","Colistin","KP347127","GCA_045952155.1"
"mef(B)",100,"1230/1230",100,"1..1230","JBICDW010000061.1 Escherichia coli strain 47464 contig00061, whole genome shotgun sequence","401..1630","Erythromycin, Azithromycin","FJ196385","GCA_045952155.1"
"cmlA1",99.92,"1260/1260",100,"1..1260","JBICDW010000061.1 Escherichia coli strain 47464 contig00061, whole genome shotgun sequence","6748..8007","Chloramphenicol","M64556","GCA_045952155.1"
"FloR",99.75,"1215/1215",100,"1..1215","JBICDW010000073.1 Escherichia coli strain 47464 contig00073, whole genome shotgun sequence","1485..2699","Chloramphenicol,Florfenicol","CP136914","GCA_045952155.1"
"catA1",99.85,"660/660",100,"1..660","JBICDW010000088.1 Escherichia coli strain 47464 contig00088, whole genome shotgun sequence","721..1380","Chloramphenicol","V00622","GCA_045952155.1"
"sul3",100,"792/792",100,"1..792","JBICDW010000061.1 Escherichia coli strain 47464 contig00061, whole genome shotgun sequence","3391..4182","Sulfamethoxazole","AJ459418","GCA_045952155.1"
"sul1",100,"574/840",68.3333333333333,"267..840","JBICDW010000115.1 Escherichia coli strain 47464 contig00115, whole genome shotgun sequence","306..879","Sulfamethoxazole","AM040449","GCA_045952155.1"
"sul1",100,"574/840",68.3333333333333,"267..840","JBICDW010000115.1 Escherichia coli strain 47464 contig00115, whole genome shotgun sequence","306..879","Sulfamethoxazole","AJ746361","GCA_045952155.1"
"sul1",100,"574/840",68.3333333333333,"267..840","JBICDW010000115.1 Escherichia coli strain 47464 contig00115, whole genome shotgun sequence","306..879","Sulfamethoxazole","GU562437","GCA_045952155.1"
"sul1",100,"574/840",68.3333333333333,"267..840","JBICDW010000115.1 Escherichia coli strain 47464 contig00115, whole genome shotgun sequence","306..879","Sulfamethoxazole","EU117158","GCA_045952155.1"
"sul1",100,"574/840",68.3333333333333,"267..840","JBICDW010000115.1 Escherichia coli strain 47464 contig00115, whole genome shotgun sequence","306..879","Sulfamethoxazole","JF262165","GCA_045952155.1"
"sul1",100,"574/840",68.3333333333333,"267..840","JBICDW010000115.1 Escherichia coli strain 47464 contig00115, whole genome shotgun sequence","306..879","Sulfamethoxazole","EF667294","GCA_045952155.1"
"sul1",100,"574/840",68.3333333333333,"267..840","JBICDW010000115.1 Escherichia coli strain 47464 contig00115, whole genome shotgun sequence","306..879","Sulfamethoxazole","AJ517791","GCA_045952155.1"
"sul1",100,"574/852",67.3708920187793,"279..852","JBICDW010000115.1 Escherichia coli strain 47464 contig00115, whole genome shotgun sequence","306..879","Sulfamethoxazole","AY963803","GCA_045952155.1"
"sul1",100,"574/840",68.3333333333333,"267..840","JBICDW010000115.1 Escherichia coli strain 47464 contig00115, whole genome shotgun sequence","306..879","Sulfamethoxazole","U12338","GCA_045952155.1"
"sul2",100,"791/819",96.5811965811966,"1..791","JBICDW010000120.1 Escherichia coli strain 47464 contig00120, whole genome shotgun sequence","1..791","Sulfamethoxazole","AJ514834","GCA_045952155.1"
"sul2",100,"791/852",92.8403755868545,"1..791","JBICDW010000120.1 Escherichia coli strain 47464 contig00120, whole genome shotgun sequence","1..791","Sulfamethoxazole","FJ197818","GCA_045952155.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICDW010000120.1 Escherichia coli strain 47464 contig00120, whole genome shotgun sequence","1..791","Sulfamethoxazole","AY034138","GCA_045952155.1"
"tet(M)",99.9,"1920/1920",100,"1..1920","JBICDW010000056.1 Escherichia coli strain 47464 contig00056, whole genome shotgun sequence","4681..6600","Doxycycline, Tetracycline, Minocycline","X75073","GCA_045952155.1"
"tet(B)",100,"1206/1206",100,"1..1206","JBICDW010000067.1 Escherichia coli strain 47464 contig00067, whole genome shotgun sequence","2023..3228","Doxycycline, Tetracycline, Minocycline","AF326777","GCA_045952155.1"
"dfrA17",100,"474/474",100,"1..474","JBICDW010000079.1 Escherichia coli strain 47464 contig00079, whole genome shotgun sequence","1954..2427","Trimethoprim","FJ460238","GCA_045952155.1"
"dfrA12",100,"498/498",100,"1..498","JBICDW010000105.1 Escherichia coli strain 47464 contig00105, whole genome shotgun sequence","527..1024","Trimethoprim","AM040708","GCA_045952155.1"
"ant(2'')-Ia",100,"534/534",100,"1..534","JBICDS010000080.1 Escherichia coli strain 47497 contig00080, whole genome shotgun sequence","159..692","Gentamicin, Tobramycin","X04555","GCA_045952175.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICDS010000097.1 Escherichia coli strain 47497 contig00097, whole genome shotgun sequence","120..956","Streptomycin","M28829","GCA_045952175.1"
"aph(3'')-Ib",100,"804/804",100,"1..804","JBICDS010000097.1 Escherichia coli strain 47497 contig00097, whole genome shotgun sequence","956..1759","Streptomycin","AF321551","GCA_045952175.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICDS010000110.1 Escherichia coli strain 47497 contig00110, whole genome shotgun sequence","264..1079","Kanamycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Unknown Aminoglycoside, Kanamycin, Neomycin","V00359","GCA_045952175.1"
"aadA1",100,"683/789",86.5652724968314,"1..683","JBICDS010000132.1 Escherichia coli strain 47497 contig00132, whole genome shotgun sequence","1..683","Spectinomycin, Streptomycin","JQ480156","GCA_045952175.1"
"aadA1",100,"683/792",86.2373737373737,"1..683","JBICDS010000132.1 Escherichia coli strain 47497 contig00132, whole genome shotgun sequence","1..683","Spectinomycin, Streptomycin","JQ414041","GCA_045952175.1"
"blaCTX-M-14",100,"876/876",100,"1..876","JBICDS010000050.1 Escherichia coli strain 47497 contig00050, whole genome shotgun sequence","12115..12990","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","AF252622","GCA_045952175.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICDS010000107.1 Escherichia coli strain 47497 contig00107, whole genome shotgun sequence","148..1008","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045952175.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICDS010000036.1 Escherichia coli strain 47497 contig00036, whole genome shotgun sequence","3552..5177","Colistin","KP347127","GCA_045952175.1"
"FloR",99.92,"1215/1215",100,"1..1215","JBICDS010000083.1 Escherichia coli strain 47497 contig00083, whole genome shotgun sequence","1018..2232","Chloramphenicol,Florfenicol","CP136914","GCA_045952175.1"
"catA1",99.85,"660/660",100,"1..660","JBICDS010000102.1 Escherichia coli strain 47497 contig00102, whole genome shotgun sequence","333..992","Chloramphenicol","V00622","GCA_045952175.1"
"sul1",100,"840/840",100,"1..840","JBICDS010000066.1 Escherichia coli strain 47497 contig00066, whole genome shotgun sequence","2105..2944","Sulfamethoxazole","U12338","GCA_045952175.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICDS010000118.1 Escherichia coli strain 47497 contig00118, whole genome shotgun sequence","1..791","Sulfamethoxazole","AB366440","GCA_045952175.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICDS010000118.1 Escherichia coli strain 47497 contig00118, whole genome shotgun sequence","1..791","Sulfamethoxazole","FN995456","GCA_045952175.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICDS010000118.1 Escherichia coli strain 47497 contig00118, whole genome shotgun sequence","1..791","Sulfamethoxazole","HQ840942","GCA_045952175.1"
"tet(B)",100,"1206/1206",100,"1..1206","JBICDS010000048.1 Escherichia coli strain 47497 contig00048, whole genome shotgun sequence","14349..15554","Doxycycline, Tetracycline, Minocycline","AF326777","GCA_045952175.1"
"dfrA1",100,"474/474",100,"1..474","JBICDS010000009.1 Escherichia coli strain 47497 contig00009, whole genome shotgun sequence","778..1251","Trimethoprim","X00926","GCA_045952175.1"
"dfrA36",100,"588/588",100,"1..588","JBICDS010000090.1 Escherichia coli strain 47497 contig00090, whole genome shotgun sequence","513..1100","Trimethoprim","CP038791","GCA_045952175.1"
"ant(2'')-Ia",100,"534/534",100,"1..534","JBICDX010000073.1 Escherichia coli strain 47463 contig00073, whole genome shotgun sequence","159..692","Gentamicin, Tobramycin","X04555","GCA_045952235.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICDX010000088.1 Escherichia coli strain 47463 contig00088, whole genome shotgun sequence","120..956","Streptomycin","M28829","GCA_045952235.1"
"aph(3'')-Ib",100,"804/804",100,"1..804","JBICDX010000088.1 Escherichia coli strain 47463 contig00088, whole genome shotgun sequence","956..1759","Streptomycin","AF321551","GCA_045952235.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICDX010000099.1 Escherichia coli strain 47463 contig00099, whole genome shotgun sequence","248..1063","Kanamycin, Neomycin, Kanamycin, Unknown Aminoglycoside, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin","V00359","GCA_045952235.1"
"aadA1",100,"683/789",86.5652724968314,"1..683","JBICDX010000115.1 Escherichia coli strain 47463 contig00115, whole genome shotgun sequence","11..693","Spectinomycin, Streptomycin","JQ480156","GCA_045952235.1"
